Initial price is $10.00
day 1 price is $9.62
day 2 price is $9.99
day 3 price is $10.31
day 4 price is $10.21
day 5 price is $10.98
day 6 price is $10.52
day 7 price is $10.01
day 8 price is $10.26
day 9 price is $10.26
day 10 price is $10.65
day 11 price is $10.69
day 12 price is $11.27
day 13 price is $11.97
day 14 price is $11.82
day 15 price is $11.93
day 16 price is $13.06
day 17 price is $12.67
day 18 price is $12.25
day 19 price is $13.01
day 20 price is $13.36
day 21 price is $14.11
day 22 price is $14.92
day 23 price is $15.75
day 24 price is $14.99
day 25 price is $15.56
day 26 price is $16.08
day 27 price is $16.79
day 28 price is $18.45
day 29 price is $18.44
day 30 price is $19.47
day 31 price is $20.35
day 32 price is $21.77
day 33 price is $21.28
day 34 price is $22.73
day 35 price is $22.38
day 36 price is $22.86
day 37 price is $24.27
day 38 price is $24.97
day 39 price is $25.75
day 40 price is $24.96
day 41 price is $24.62
day 42 price is $24.76
day 43 price is $24.08
day 44 price is $23.65
day 45 price is $23.16
day 46 price is $22.49
day 47 price is $22.21
day 48 price is $22.27
day 49 price is $23.60
day 50 price is $22.66
day 51 price is $22.47
day 52 price is $23.95
day 53 price is $23.13
day 54 price is $24.46
day 55 price is $26.80
day 56 price is $26.23
day 57 price is $25.01
day 58 price is $24.65
day 59 price is $23.67
day 60 price is $23.23
day 61 price is $24.33
day 62 price is $26.22
day 63 price is $25.49
day 64 price is $26.35
day 65 price is $26.23
day 66 price is $25.09
day 67 price is $24.56
day 68 price is $24.25
day 69 price is $25.27
day 70 price is $24.78
day 71 price is $24.15
day 72 price is $22.97
day 73 price is $22.25
day 74 price is $23.49
day 75 price is $22.89
day 76 price is $22.69
day 77 price is $24.58
day 78 price is $24.02
day 79 price is $25.73
day 80 price is $25.53
day 81 price is $24.53
day 82 price is $26.45
day 83 price is $25.18
day 84 price is $25.46
day 85 price is $24.76
day 86 price is $26.44
day 87 price is $28.26
day 88 price is $27.90
day 89 price is $29.67
day 90 price is $28.59
day 91 price is $28.37
day 92 price is $28.23
day 93 price is $29.98
day 94 price is $29.67
day 95 price is $31.84
day 96 price is $32.17
day 97 price is $31.76
day 98 price is $33.38
day 99 price is $33.34
day 100 price is $32.70
day 101 price is $31.08
day 102 price is $30.57
day 103 price is $30.16
day 104 price is $32.44
day 105 price is $31.90
day 106 price is $31.31
day 107 price is $32.01
day 108 price is $35.16
day 109 price is $38.10
day 110 price is $36.27
day 111 price is $38.29
day 112 price is $38.14
day 113 price is $38.26
day 114 price is $37.98
day 115 price is $36.63
day 116 price is $40.26
day 117 price is $39.57
day 118 price is $40.73
day 119 price is $43.98
day 120 price is $46.85
day 121 price is $45.14
day 122 price is $48.52
day 123 price is $51.46
day 124 price is $53.44
day 125 price is $57.60
day 126 price is $61.62
day 127 price is $60.42
day 128 price is $64.61
day 129 price is $68.31
day 130 price is $67.25
day 131 price is $65.09
day 132 price is $62.87
day 133 price is $60.92
day 134 price is $57.91
day 135 price is $57.01
day 136 price is $56.04
day 137 price is $56.64
day 138 price is $55.00
day 139 price is $59.79
day 140 price is $59.27
day 141 price is $63.68
day 142 price is $68.21
day 143 price is $67.88
day 144 price is $66.99
day 145 price is $68.73
day 146 price is $71.67
day 147 price is $77.83
day 148 price is $81.72
day 149 price is $83.01
day 150 price is $82.15
day 151 price is $78.80
day 152 price is $75.84
day 153 price is $83.30
day 154 price is $81.59
day 155 price is $82.30
day 156 price is $82.66
day 157 price is $82.22
day 158 price is $82.96
day 159 price is $87.90
day 160 price is $86.97
day 161 price is $85.24
day 162 price is $82.59
day 163 price is $79.71
day 164 price is $83.77
day 165 price is $85.76
day 166 price is $92.10
day 167 price is $96.97
day 168 price is $94.00
